MUNICIPIO,COLONIA,indice,indice_texto
GUSTAVO A. MADERO,CHURUBUSCO TEPEYAC,0.94960265, Muy Alto
GUSTAVO A. MADERO,COCOYOTES,0.76479602759,Muy Bajo
GUSTAVO A. MADERO,COCOYOTES (AMPL),0.79299944615,Bajo
GUSTAVO A. MADERO,COMPOSITORES MEXICANOS,0.76655956556,Muy Bajo
GUSTAVO A. MADERO,CONSTITUCION DE LA REPUBLICA,0.83739127717,Medio
GUSTAVO A. MADERO,COOPERATIVA LUIS ENRIQUE RODR├ìGUEZ OROZCO (U HAB),0.89107163261,Alto
GUSTAVO A. MADERO,CTM ATZACOALCO (U HAB),0.91550872424,Alto
GUSTAVO A. MADERO,CTM EL RISCO (U HAB),0.91662395433,Alto
GUSTAVO A. MADERO,CUAUTEPEC DE MADERO,0.8239583925,Bajo
GUSTAVO A. MADERO,CUAUTEPEC EL ALTO (PBLO),0.80891142308,Bajo
GUSTAVO A. MADERO,CUCHILLA DEL TESORO,0.83363221605,Medio
GUSTAVO A. MADERO,CUCHILLA LA JOYA,0.83479956154,Medio
GUSTAVO A. MADERO,DEFENSORES DE LA REPUBLICA,0.8702972875,Medio
GUSTAVO A. MADERO,DEL BOSQUE,0.875857255,Medio
GUSTAVO A. MADERO,DEL OBRERO,0.8322143963,Medio
GUSTAVO A. MADERO,DM NACIONAL,0.91661297143,Alto
GUSTAVO A. MADERO,EDUARDO MOLINA I (U HAB),0.85412671667,Medio
GUSTAVO A. MADERO,EDUARDO MOLINA II (U HAB),0.92073772,Alto
GUSTAVO A. MADERO,EJIDOS SAN JUAN DE ARAGON 1A SECCION (U HAB),0.81969346364,Bajo
GUSTAVO A. MADERO,EJIDOS SAN JUAN DE ARAGON 2A SECCION (U HAB),0.84927533333,Medio
GUSTAVO A. MADERO,EL ARBOLILLO,0.83505276667,Medio
GUSTAVO A. MADERO,EL ARBOLILLO 1 (U HAB),0.90528564844,Alto
GUSTAVO A. MADERO,EL ARBOLILLO 2 (U HAB),0.89107163261,Alto
GUSTAVO A. MADERO,EL ARBOLILLO 3 (U HAB),0.83948105833,Medio
GUSTAVO A. MADERO,EL CARMEN,0.74363046415,Muy Bajo
GUSTAVO A. MADERO,EL COYOL (U HAB),0.92108785714,Alto
GUSTAVO A. MADERO,EL OLIVO,0.84348883077,Medio
GUSTAVO A. MADERO,EMILIANO ZAPATA,0.87939877037,Medio
GUSTAVO A. MADERO,EMILIANO ZAPATA (AMPL),0.87737256667,Medio
